,Time,Prey,Predator
0,11,45.79,41.4
1,12,53.03,38.9
2,13,64.05,36.78
3,14,75.4,36.04
4,15,90.36,33.78
5,16,107.14,35.4
6,17,127.79,34.68
7,18,150.77,36.61
8,19,179.65,37.71
9,20,211.82,41.98
10,21,249.91,45.72
11,22,291.31,53.1
12,23,334.95,65.44
13,24,380.67,83.0
14,25,420.28,108.74
15,26,445.56,150.01
16,27,447.63,205.61
17,28,414.04,281.6
18,29,347.04,364.56
19,30,265.33,440.3
20,31,187.57,489.68
21,32,128.0,512.95
22,33,85.25,510.01
23,34,57.17,491.06
24,35,39.96,462.22
25,36,29.22,430.15
26,37,22.3,396.95
27,38,16.52,364.87
28,39,14.41,333.16
29,40,11.58,304.97
30,41,10.41,277.73
31,42,10.17,253.16
32,43,7.86,229.66
33,44,9.23,209.53
34,45,8.22,190.07
35,46,8.76,173.58
36,47,7.9,156.4
37,48,8.38,143.05
38,49,9.53,130.75
39,50,9.33,117.49
40,51,9.72,108.16
41,52,10.55,98.08
42,53,13.05,88.91
43,54,13.58,82.28
44,55,16.31,75.42
45,56,17.75,69.58
46,57,20.11,62.58
47,58,23.98,59.22
48,59,28.51,54.91
49,60,31.61,49.79
50,61,37.13,45.94
51,62,45.06,43.41
52,63,53.4,41.3
53,64,62.39,40.28
54,65,72.89,37.71
55,66,86.92,36.58
56,67,103.32,36.98
57,68,121.7,36.65
58,69,144.86,37.87
59,70,171.92,39.63
60,71,202.51,42.97
61,72,237.69,46.95
62,73,276.77,54.93
63,74,319.76,64.61
64,75,362.05,81.28
65,76,400.11,105.5
66,77,427.79,143.03
67,78,434.56,192.45
68,79,410.31,260.84
69,80,354.18,339.39
70,81,278.49,413.79
71,82,203.72,466.94
72,83,141.06,494.72
73,84,95.08,499.37
74,85,66.76,484.58
75,86,45.41,460.63
76,87,33.13,429.79
77,88,25.89,398.77
78,89,20.51,366.49
79,90,17.11,336.56
80,91,12.69,306.39
81,92,11.76,279.53
82,93,11.22,254.95
83,94,10.29,233.5
84,95,8.82,212.74
85,96,9.51,193.61
86,97,8.69,175.01
87,98,9.53,160.59
88,99,8.68,146.12
89,100,10.82,131.85
